1678	_course_duration	a:2:{s:5:"hours";s:1:"0";s:7:"minutes";s:1:"0";}
1678	_tutor_course_level	all_levels
1678	_tutor_course_price_type	free
2984	_course_duration	a:3:{s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:0;}
2984	_tutor_course_level	intermediate
2984	_tutor_course_price_type	paid
3913	_course_duration	a:3:{s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:0;}
3913	_tutor_course_level	intermediate
3937	_course_duration	a:3:{s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:0;}
3937	_tutor_course_level	all_levels
8679	_tutor_course_price_type	free
8679	_course_duration	a:3:{s:5:"hours";i:0;s:7:"minutes";i:0;s:7:"seconds";i:0;}
8679	_tutor_course_level	intermediate
8692	_tutor_course_price_type	free
8692	_tutor_course_level	all_levels
8692	_course_duration	a:2:{s:5:"hours";s:1:"0";s:7:"minutes";s:1:"0";}
16514	_tutor_course_price_type	free
