ID	created_at	order_id	affiliate_id	product_id	tier	commission	status	paid_status
4	2022-03-24 12:08:36	123	114	179	1	135000.00	added	1
6	2022-03-24 21:55:04	125	92	179	1	135000.00	added	1
7	2022-03-25 05:59:19	127	141	179	1	135000.00	added	1
11	2022-03-25 08:32:19	131	141	179	1	135000.00	added	1
12	2022-03-25 08:36:49	132	92	179	1	135000.00	added	1
16	2022-03-25 13:20:24	138	114	179	1	135000.00	added	1
18	2022-03-25 21:51:18	140	95	179	1	135000.00	added	1
23	2022-03-26 21:47:00	147	111	179	1	135000.00	added	1
24	2022-03-26 22:24:55	148	111	179	1	135000.00	added	1
25	2022-03-27 04:05:16	149	106	179	1	135000.00	added	1
27	2022-03-27 18:22:27	151	92	179	1	135000.00	added	1
30	2022-03-27 23:20:43	154	104	179	1	135000.00	added	1
31	2022-03-28 05:52:28	155	173	179	1	135000.00	added	1
32	2022-03-28 08:41:28	156	141	179	1	135000.00	added	1
36	2022-03-28 22:53:05	172	50	179	1	135000.00	added	1
43	2022-03-29 11:14:00	184	50	179	1	135000.00	added	1
44	2022-03-29 13:33:56	185	113	179	1	135000.00	added	1
45	2022-03-29 20:27:40	186	53	179	1	135000.00	added	1
47	2022-03-30 11:06:23	189	92	179	1	135000.00	added	1
48	2022-03-30 12:00:28	190	173	179	1	135000.00	added	1
49	2022-03-30 13:02:32	192	113	179	1	135000.00	added	1
50	2022-03-30 15:44:41	193	71	179	1	135000.00	added	1
51	2022-03-30 16:51:17	194	111	179	1	135000.00	added	1
53	2022-03-30 18:57:01	196	125	179	1	135000.00	added	1
54	2022-03-30 20:08:29	197	137	179	1	135000.00	added	1
55	2022-03-30 20:12:52	198	132	179	1	135000.00	added	1
56	2022-03-30 20:29:20	199	134	179	1	135000.00	added	1
57	2022-03-30 20:52:36	200	71	179	1	135000.00	added	1
58	2022-03-30 20:55:05	201	181	179	1	135000.00	added	1
59	2022-03-30 21:15:29	202	97	179	1	135000.00	added	1
60	2022-03-30 23:23:24	207	141	179	1	135000.00	added	1
